bacteria,Silt,Sand,Clay,Fe,P,Rainfall,Ca,SOM,pH,N
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera;s__gargensis,0.668520092013,0.655444376055,0.574668376592,0.416440596881,0.398160286393,0.28418685306,0.271995782021,0.0890550276678,0.0475240047154,0.0199255770049
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__;s__,0.595146217667,0.562448787445,0.458605722775,0.331033681862,0.142710142417,0.0816237075414,0.0748690496301,0.0873478763137,0.00255675426577,0.0235838011664
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Gemmata;s__,0.517624985817,0.516287246924,0.46765156591,0.307298803841,0.199901252209,0.223051980751,0.142414745397,0.0448278428168,0.03531689677,0.0372264597857
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__,0.494508889655,0.484593263068,0.424462680696,0.326452688372,0.277944673269,0.19298341299,0.178461911042,0.0965060005613,0.0253525688599,0.00697370595853
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes;s__,0.463425851817,0.454299098372,0.398206619359,0.237203892202,0.132176882214,0.0742400883155,0.100382291399,0.0760985213171,0.0103572759446,0.117298313168
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__;g__;s__,0.434427959607,0.438233738483,0.405387584915,0.221035484773,0.176724573427,0.225668957653,0.157701813692,0.0280029187637,0.0441095519253,0.0829961937351
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Ellin6067;f__;g__;s__,0.393661436499,0.383000128017,0.330837606824,0.167137549292,0.113057764454,0.0616756198818,0.0778314081817,0.0342838899058,0.00379917003309,0.113374723932
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera;s__,0.390510047301,0.398596371047,0.376748031768,0.335947057934,0.309436809727,0.31922038502,0.195329749566,0.0439024219622,0.0492898516498,0.016295036653
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__MND1;f__;g__;s__,0.364098327228,0.333952781477,0.255891141122,0.214943443653,0.060304590421,0.0481624312839,0.0176005095371,0.0839240614103,0.000504123245717,0.000670838832627
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__,0.346073356229,0.336397314657,0.290072567244,0.155649757055,0.0958752281239,0.0381592311864,0.0984349330504,0.0684812105492,0.00918320833583,0.0668161098846
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__;s__,0.333961431216,0.344418800177,0.331657506709,0.29100816651,0.183455725355,0.0366478326971,0.167297984336,0.113924761628,0.0599623494907,0.0233037441832
k__Bacteria;p__Chloroflexi;c__Ellin6529;o__;f__;g__;s__,0.331065529645,0.365874793137,0.396430326425,0.328806025177,0.228230989961,0.171479865048,0.202833376811,0.133617497435,0.113431175743,0.0394494760418
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Flavisolibacter;s__,0.330896824732,0.322281351007,0.278969792019,0.199408367861,0.233665256539,0.211185501348,0.177165918179,0.0249704874423,0.0376827679416,0.00683607897035
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter;__,0.294963918589,0.283675200565,0.239546251867,0.152359096208,0.142452081112,0.0882474699123,0.104776282594,0.0560857835142,0.0314273793033,0.00691185512784
k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__[Roseiflexales];f__;g__;s__,0.268974584299,0.258886971637,0.218959024581,0.174534430212,0.163906535346,0.254118522262,0.098562852883,0.010000735146,0.0176257382906,0.0113253589041
k__Bacteria;p__Armatimonadetes;c__0319-6E2;o__;f__;g__;s__,0.260520708573,0.242119352515,0.190737117189,0.154113477957,0.0532623378174,0.0559358991355,0.0208292714072,0.0552267475053,2.82301134579e-05,0.00188880370686
k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18;f__;g__;s__,0.259475033417,0.238661497226,0.183967341826,0.154538603223,0.0463224349168,0.0621136558326,0.0110653766416,0.048819567966,0.00469489351959,0.00737854288195
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;__,0.255084590204,0.252654679054,0.225862376332,0.156687186033,0.218665967232,0.364997904257,0.131088501951,0.00122197744828,0.0381538663656,0.0199934380167
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;__;__;__,0.245795729942,0.259708686627,0.260969714629,0.27217438795,0.209882841378,0.292626638486,0.143888384051,0.129449368216,0.105500759612,0.0110445638267
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__DA101;s__,0.237887582071,0.221552504651,0.175303331658,0.0746018077096,0.0161421976871,0.00568531789331,0.0114765009027,0.00783292881233,0.00503210714392,0.0850430251232
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__,0.226872763813,0.196196639488,0.131858427983,0.0614778541833,0.0138495988959,9.33119588597e-05,0.00542389204658,0.0243262580844,0.013197856669,0.0274197902656
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__N1423WL;f__;g__;s__,0.209821107266,0.168925725832,0.0950304120623,0.0962552775994,0.00199979654958,0.000217775094814,0.010704068878,0.0280757462616,0.0587289613808,0.0050992598514
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Acidovorax;__,0.199336180577,0.153376406893,0.0761334718329,0.0759649201407,6.96331583089e-06,0.0227322249806,0.0221560186817,0.000267499032909,0.088426869384,0.0277855676132
k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__[Roseiflexales];f__[Kouleothrixaceae];g__;s__,0.176159541524,0.166644630489,0.136148090497,0.142069089101,0.110120162846,0.115116241651,0.0650873839151,0.0420088995259,0.0252774306979,0.00140240471016
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];f__;g__;s__,0.174666182219,0.144333288651,0.0868537057544,0.0215940441575,0.000549692389658,0.00935730173006,0.00225609411913,2.49869263374e-05,0.0665798366527,0.128825020254
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__;s__,0.174401447652,0.143836575189,0.0861328876425,0.0647070378875,0.00137947816778,0.0224831136885,0.00403339538746,0.00597872569381,0.0410074679225,0.00749266779466
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__,0.172069508061,0.170509189046,0.152561287189,0.136166705704,0.0566670363557,0.0585330847796,0.0415081563934,0.0517616794397,0.0297631464991,0.000200468298408
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__0319-6A21;g__;s__,0.169179871719,0.175696982842,0.171297089596,0.186157432099,0.0602016159357,0.0371239533869,0.0411749760828,0.053529965196,0.028403250177,0.00840296817232
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__;g__;s__,0.166292233522,0.186694608409,0.207487453224,0.205981072297,0.140249303066,0.06872461005,0.135584419898,0.0922974390638,0.0943226104175,0.00123058325768
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Kaistobacter;s__,0.162813958263,0.145647335786,0.105715723176,0.0382964237162,0.110963423884,0.159507390331,0.0706361064923,0.0343256925268,0.00101622464239,0.018745547689
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__longiquaesitum,0.155810014875,0.149307045762,0.125181629369,0.0763170679971,0.100504984788,0.190419296227,0.0484898820499,0.00291187335941,0.0176441267769,0.0371132347516
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__;s__,0.147399345695,0.177686244285,0.220106970866,0.222256383987,0.264496173832,0.055246073177,0.270923036931,0.132136336784,0.167655730854,4.61188815758e-06
__;__Unknown bacteria,0.141121199301,0.122798911084,0.0837283898907,0.0339346126768,0.0014007660512,0.000390819905366,0.000404677513982,0.00123511978206,0.0243944792218,0.0416693691796
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter;s__,0.137956785407,0.111789301641,0.0639682900073,0.0134789993237,0.00294914706189,0.0016413617282,3.26479068995e-05,0.000681807040186,0.0364888416029,0.0585636433823
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__[Entotheonellales];f__[Entotheonellaceae];g__;s__,0.135814891269,0.155234303116,0.177466499653,0.173197414414,0.210076637091,0.288379522463,0.154242075943,0.0168475576987,0.0791787519195,0.00447492884811
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101;f__;g__;s__,0.130364893701,0.110856391746,0.0715896558354,0.0429695671676,0.00150023970915,0.0381618252666,0.00139850792138,0.00313181820234,0.0155636963125,0.000858043765427
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__;s__,0.0803262033741,0.0657366681658,0.0385928583004,0.00747098605332,0.00540058755628,6.5998981229e-05,0.0164473038659,0.0017304875857,0.0516545850647,0.0505073999491
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__;g__;s__,0.0794386048764,0.0670191113987,0.0424597712849,0.0515076910778,0.0197666918586,0.0459517060201,0.00184547051395,0.0447912641293,0.00895185605373,0.0326635269212
k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__0319-7L14;f__;g__;s__,0.0764432779077,0.0731586091943,0.061180617098,0.050881955864,0.0098762207198,0.0154904406941,0.00589254405898,0.000271961937046,0.0028686884347,0.0181711246792
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__;f__;g__;s__,0.0725392337386,0.090218698285,0.116864971431,0.148489240042,0.224593741542,0.105692231909,0.193751375501,0.0392050502253,0.121599866196,0.00301825580572
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__mb2424;g__;s__,0.0559586234499,0.0596063527758,0.0607349011426,0.0500016569136,0.0508562641016,0.0164114739974,0.0447882506829,0.0523241852188,0.00552242259795,0.00198903690885
k__Bacteria;p__Chloroflexi;c__TK10;o__B07_WMSP1;f__;g__;s__,0.0512852084766,0.0550792521382,0.05691234749,0.0450883905644,0.063848152979,0.00734063135215,0.0983362646083,0.0439304019718,0.0242346459232,0.000751549637187
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__;s__,0.0166289213999,0.0092288629513,0.00109260884748,0.000352449091035,0.0282443926968,0.0039953678085,0.0394672798752,0.00986117272221,0.038316862478,0.00379707654397
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__Ellin6075;g__;s__,0.00867873253187,0.0129448007195,0.0211060554864,0.0217591770692,0.0780282192589,0.00509683687767,0.0906259542052,0.0065860590838,0.033922439199,0.0010090051464
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__;s__,0.00854829988765,0.00555170681713,0.00152933243507,0.000410279475468,0.0171926464368,0.0122486257842,0.0279409598034,0.00702947346907,0.0179329988593,0.00576138493591
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__;f__;g__;s__,0.00742490467324,0.00426507615847,0.000631857702422,0.00294745395828,0.000759442516698,0.0464849456443,0.00542801268069,5.6833800214e-05,0.00233921179251,0.0287259853125
k__Bacteria;p__Gemmatimonadetes;c__Gemm-1;o__;f__;g__;s__,0.00518431642794,0.00677670044172,0.00939407203063,0.000802768418492,0.0271978365391,0.00180467764257,0.0330630589456,0.000223966584717,0.00853297458052,0.0108975753773
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__;s__,0.0030106984244,0.000353273623813,0.00214794701679,0.008642505956,0.00586559202127,0.007985950735,0.0214455812947,0.0262398754984,0.0447730122937,0.0117718250658
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;__;__,0.00172558686465,0.00471492878811,0.0129599028498,0.00015711676595,0.0296788616072,0.0282274239708,0.0611618870538,0.0297896949659,0.0407867944059,0.000553917278563
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SC-I-84;f__;g__;s__,0.000893151031779,0.00118746170426,0.00168311120995,0.00200919377024,0.00593488447172,0.0343306483062,0.000993063378664,0.000493749423598,0.00145793358975,0.0632884887058
